0.95;0.2638;0.9799;0.6570;310.3709;177.8753;53.1666
0.97;0.2626;0.9804;0.6581;309.7043;178.1994;53.3562
0.98;0.2621;0.9806;0.6591;309.0634;178.1452;53.8646
1.00;0.2621;0.9806;0.6591;309.0634;178.1452;53.8646
1.02;0.2615;0.9806;0.6598;308.5060;178.1615;53.9855
1.03;0.2611;0.9806;0.6605;307.9910;178.0642;54.2427
1.05;0.2606;0.9806;0.6614;307.3860;178.0257;54.3658
1.07;0.2600;0.9805;0.6621;306.9714;178.0499;54.3253
1.08;0.2594;0.9801;0.6626;306.6632;178.1143;54.2865
1.10;0.2594;0.9801;0.6626;306.6632;178.1143;54.2865
1.12;0.2589;0.9797;0.6631;306.3737;178.1544;54.1547
1.13;0.2585;0.9793;0.6635;306.1028;178.1710;53.9291
1.15;0.2581;0.9786;0.6636;306.0030;178.2596;53.7696
1.17;0.2580;0.9781;0.6639;305.7516;178.1756;53.7186
1.18;0.2579;0.9776;0.6642;305.5656;178.0723;53.6685
1.20;0.2579;0.9776;0.6642;305.5656;178.0723;53.6685
1.22;0.2580;0.9771;0.6644;305.3605;177.8238;53.7597
1.23;0.2582;0.9770;0.6651;305.0041;177.5121;53.9615
1.25;0.2586;0.9771;0.6660;304.6116;177.0504;54.2634
1.27;0.2592;0.9768;0.6665;304.4675;176.5127;54.6503
1.28;0.2598;0.9762;0.6667;304.4544;176.0046;54.8658
1.30;0.2598;0.9762;0.6667;304.4544;176.0046;54.8658
1.32;0.2605;0.9755;0.6669;304.5199;175.6033;55.0233
1.33;0.2611;0.9749;0.6673;304.5778;175.2800;54.9723
1.35;0.2616;0.9743;0.6678;304.6977;175.0275;54.9366
1.37;0.2618;0.9736;0.6686;304.8836;175.0407;54.5625
1.38;0.2620;0.9725;0.6692;305.3211;175.1801;54.1250
1.40;0.2620;0.9725;0.6692;305.3211;175.1801;54.1250
1.42;0.2625;0.9712;0.6697;305.9990;175.3385;53.7828
1.43;0.2628;0.9701;0.6708;306.5245;175.6526;53.3782
1.45;0.2631;0.9684;0.6723;307.3309;176.2582;52.8323
1.47;0.2631;0.9681;0.6731;307.4111;176.5568;52.5445
1.48;0.2630;0.9677;0.6746;307.4993;176.9361;52.2798
1.50;0.2630;0.9677;0.6746;307.4993;176.9361;52.2798
1.52;0.2627;0.9674;0.6759;307.4868;177.3041;52.1381
1.53;0.2627;0.9672;0.6771;307.3739;177.4000;52.3134
1.55;0.2628;0.9671;0.6784;307.1280;177.4448;52.3470
