9.72;0.2888;0.9047;0.7275;303.2298;147.7281;91.5936
9.73;0.2889;0.9046;0.7276;303.2697;147.7315;91.7392
9.75;0.2891;0.9042;0.7277;303.4227;147.6430;91.9299
9.77;0.2894;0.9038;0.7278;303.6298;147.4522;92.3466
9.78;0.2895;0.9037;0.7281;303.6616;147.2902;92.5306
9.80;0.2897;0.9036;0.7282;303.7441;147.0685;92.7900
9.82;0.2901;0.9032;0.7282;303.9742;146.8262;93.1679
9.83;0.2903;0.9031;0.7283;304.0176;146.6501;93.3118
9.85;0.2907;0.9028;0.7285;304.1507;146.3498;93.6403
9.87;0.2911;0.9023;0.7284;304.3632;146.1921;93.9001
9.88;0.2912;0.9022;0.7284;304.4638;146.0985;93.9744
9.90;0.2913;0.9020;0.7284;304.5250;146.0937;94.0115
9.92;0.2915;0.9017;0.7284;304.7083;146.0553;94.1960
9.93;0.2916;0.9015;0.7284;304.7801;146.0565;94.2701
9.95;0.2916;0.9012;0.7284;304.8956;146.2231;94.1998
9.97;0.2916;0.9006;0.7280;305.1772;146.4612;94.1504
9.98;0.2918;0.9004;0.7279;305.2767;146.3673;94.1506
10.00;0.2917;0.9003;0.7278;305.2986;146.4256;94.2258
10.02;0.2919;0.9000;0.7277;305.4198;146.3662;94.3010
10.03;0.2920;0.8997;0.7276;305.5387;146.4127;94.2765
10.05;0.2920;0.8997;0.7277;305.5408;146.3775;94.4493
10.07;0.2919;0.8993;0.7276;305.7200;146.4879;94.5360
10.08;0.2919;0.8992;0.7275;305.7803;146.5050;94.6468
10.10;0.2920;0.8989;0.7274;305.8882;146.5452;94.6587
10.12;0.2921;0.8986;0.7272;306.0454;146.5500;94.7437
10.13;0.2919;0.8985;0.7271;306.0563;146.6254;94.7819
10.15;0.2919;0.8982;0.7269;306.1752;146.6930;94.7595
10.17;0.2919;0.8979;0.7267;306.2354;146.7097;94.7974
10.18;0.2918;0.8978;0.7267;306.2463;146.7613;94.7625
10.20;0.2917;0.8978;0.7267;306.2463;146.7849;94.7625
10.22;0.2916;0.8977;0.7267;306.2573;146.8601;94.8009
10.23;0.2916;0.8976;0.7266;306.3543;146.8943;94.7757
10.25;0.2915;0.8977;0.7268;306.2955;146.8912;94.9084
10.27;0.2915;0.8975;0.7266;306.4034;146.9534;94.9217
10.28;0.2916;0.8975;0.7267;306.3829;146.7932;95.0883
10.30;0.2915;0.8975;0.7268;306.3828;146.8167;95.0151
10.32;0.2915;0.8975;0.7269;306.3624;146.7271;95.1817
10.33;0.2916;0.8974;0.7269;306.4007;146.6643;95.2887
10.35;0.2916;0.8975;0.7271;306.3805;146.5747;95.3819
10.37;0.2920;0.8973;0.7274;306.4758;146.2512;95.7211
10.38;0.2920;0.8973;0.7275;306.4665;146.1665;95.7788
10.40;0.2920;0.8973;0.7276;306.5051;146.1281;95.8848
10.42;0.2920;0.8972;0.7278;306.5240;146.0008;96.0830
10.43;0.2922;0.8971;0.7279;306.6014;145.8778;96.2941
10.45;0.2926;0.8971;0.7282;306.6404;145.4365;96.6147
10.47;0.2930;0.8969;0.7284;306.7773;145.0820;97.1240
